A,B,C,D,E,F,G
-0.06278989051435424,0.14245614009375177,1.2142271680580128,0.36673784556123973,2.0935811922114276,-0.35222176400918004,-0.031240997376927333
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-0.8028221431046131,-0.35222176400918004,-0.03280347531675051
-0.2964935998944293,0.14245614009375177,-0.153052674505543,-0.2796683525672038,0.15224371775634177,-0.35222176400918004,-0.03280152731324295
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-0.7525108274735736,-0.35222176400918004,-0.03342034309414481
-0.2964935998944293,0.14245614009375177,-0.153052674505543,-0.0372660282693405,-0.11969212748990936,-0.35222176400918004,-0.03342034309414481
-0.06278989051435424,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-0.10281779879072377,-0.35222176400918004,-0.03342034309414481
-0.2964935998944293,0.14245614009375177,-0.153052674505543,-0.2796683525672038,0.9548896434987888,3.223425112488701,-0.03147442193516092
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.2796683525672038,0.31421643432378077,-0.35222176400918004,-0.03142919242843365
0.1502470281029666,0.14245614009375177,-0.153052674505543,-0.2796683525672038,1.4055686438561583,-0.35222176400918004,-0.033287632556336606
1.0437282840977584,0.14245614009375177,-2.8876123596326546,-0.2796683525672038,-0.384410315641412,-0.35222176400918004,-0.03239526782311438
0.1502470281029666,0.14245614009375177,-1.0645725695479136,-0.0372660282693405,1.299638911789118,-0.35222176400918004,-0.03223255355312076
-0.06278989051435424,-9.975542490663912,-1.0645725695479136,-0.2796683525672038,-0.944840160645395,0.5416899551152901,-0.03324587363057108
-0.2964935998944293,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-1.3199460455401064,1.4022881940239416,-0.027458332818762636
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.2796683525672038,1.2828684732454378,-0.35222176400918004,-0.03263733524748497
-0.06278989051435424,0.14245614009375177,-1.976092464590284,-0.0372660282693405,-0.10281779879072377,-0.35222176400918004,-0.02898285827645575
0.1502470281029666,0.14245614009375177,0.30270727301564226,-0.15846719041827215,-1.1482082634915376,2.3295133933642305,-0.033218982225828766
-0.7432342278918252,-4.91654317528508,-0.153052674505543,-0.0372660282693405,0.6538708858413463,0.5250332150073808,-0.033420320703299894
0.1502470281029666,0.14245614009375177,1.2142271680580128,0.04353474649580591,0.5553710949012522,6.665818068123306,-0.029635842486697126
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-0.10281779879072377,-0.35222176400918004,-0.032772016179645654
-0.7432342278918252,0.14245614009375177,2.5815070106215683,0.4475386203263861,0.8307034846626788,-0.35222176400918004,-0.027328107664739944
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-0.8168328892297126,1.4022881940239416,-0.033227468356051365
-0.06278989051435424,0.14245614009375177,-1.0645725695479136,-0.2796683525672038,-0.990056659503671,-0.35222176400918004,-0.03291567584061704
-0.7432342278918252,0.14245614009375177,-0.6088126220267283,-0.0372660282693405,-0.6871273455564423,0.5250332150073808,-0.03325800946851473
-0.2964935998944293,0.14245614009375177,-0.153052674505543,0.14453571495405698,-0.7491142829583979,1.5803182979729944,-0.033416917294872894
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-0.45913429497527636,-0.35222176400918004,-0.03120935911306315
1.9372095400925502,0.14245614009375177,1.6699871155791979,0.2051362960285228,-0.8236259782600639,3.156798152057063,-0.032606301536433485
-0.7432342278918252,0.14245614009375177,-1.0645725695479136,-0.2796683525672038,-0.028197709612365045,-0.35222176400918004,-0.032276730690137055
1.4904689120951544,0.14245614009375177,-0.153052674505543,-0.0372660282693405,-0.2232867352027668,-0.35222176400918004,-0.03342034309414481
-0.06278989051435424,0.14245614009375177,-1.976092464590284,0.811142106773181,2.1823159176703912,-0.35222176400918004,-0.022976626082367457
-0.06278989051435424,0.14245614009375177,-0.153052674505543,0.6899409446242494,2.016309804491181,-0.35222176400918004,-0.03342034309414481
-0.2964935998944293,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-1.0159553114318853,0.5250332150073808,-0.03342034309414481
-0.2964935998944293,0.14245614009375177,-0.153052674505543,-0.2796683525672038,1.035769859766409,-0.35222176400918004,-0.03285898222129354
0.1502470281029666,0.14245614009375177,0.7584672205368275,-0.0372660282693405,0.29107747481414664,-0.35222176400918004,-0.03010237813133551
-0.2964935998944293,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-1.1265552922072926,-0.35222176400918004,-0.027409296868399897
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-1.0877073143149711,0.5250332150073808,-0.03006541084638168
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.19886757780205738,-0.10281779879072377,-0.35222176400918004,-0.03342034309414481
-0.06278989051435424,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-1.1866316733194622,0.5250332150073808,-0.03310982685687061
-0.06278989051435424,0.14245614009375177,-1.0645725695479136,-0.2796683525672038,-0.6363914618610059,-0.35222176400918004,-0.03342034309414481
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-1.0569261296461918,-0.35222176400918004,-0.03342034309414481
-0.06278989051435424,0.14245614009375177,-0.153052674505543,1.901952566113566,1.5350619034972304,0.5416899551152901,-0.03342034309414481
-0.06278989051435424,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-0.9526946698367388,-0.35222176400918004,-0.03342034309414481
-0.06278989051435424,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-1.1409906063967892,0.5250332150073808,-0.03327280981700321
-0.2964935998944293,0.14245614009375177,-0.153052674505543,-0.2796683525672038,1.4809294752866182,-0.35222176400918004,-0.033283400686647764
-0.06278989051435424,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-1.1346220854308349,-0.35222176400918004,-0.03342034309414481
-0.7432342278918252,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-0.7752252189188108,-0.35222176400918004,-0.029208557993193846
-0.06278989051435424,0.14245614009375177,-0.153052674505543,-0.2796683525672038,-0.6281123846052652,-0.35222176400918004,-0.03178095260204034
4.6176533080769255,0.14245614009375177,3.493026905663939,0.6899409446242494,2.335372704885494,-0.35222176400918004,0.0055806799124224074
